"""SPARC-EQ"","
"""P & G Hygiene-EQ"","
"""Aqylon Nexus-EQ"","
"""Ksolves India-EQ"","
"""Indosolar-EQ"","
"""Tips Music-EQ"","
"""ICICI AMC-EQ"","
"""Colgate-Palmoliv-EQ"","
"""Gillette India-EQ"","
"""Sanofi Consumer-EQ"","
"""One Global Serv-EQ"","
"""Waaree Renewab.-EQ"","
"""Nestle India-EQ"","
"""P & G Health Ltd-EQ"","
"""Timex Group-EQ"","
"""GE Power-EQ"","
"""Millworks Technologies-EQ"","
"""GE Vernova T&D-EQ"","
"""Stellant Secu.-EQ"","
"""Mobavenue AI Tech-EQ"","
"""Multi Comm. Exc.-EQ"","
"""Jeena Sikho-EQ"","
"""Emkay Tools-EQ"","
"""Hindustan Zinc-EQ"","
"""International Gemological Instit-EQ"","
"""Siemens Ener.Ind-EQ"","
"""Esab India-EQ"","
"""Page Industries-EQ"","
"""Waterways Leisur-EQ"","
"""Jindal Poly Inve-EQ"","
"""Websol Energy-EQ"","
"""TCS-EQ"","
"""Glaxosmi. Pharma-EQ"","
"""Sigma Advanced System-EQ"","
"""Tenneco Clean-EQ"","
"""Castrol India-EQ"","
"""BSE-EQ"","
"""Vivid Electromech-EQ"","
"""HBL Engineering-EQ"","
"""Swaraj Engines-EQ"","
"""Sanofi India-EQ"","
"""Anand Rathi Wea.-EQ"","
"""Ingersoll-Rand-EQ"","
"""SBI Funds Mgt.-EQ"","
"""Britannia Inds.-EQ"","
"""Tata Tele. Mah.-EQ"","
"""NINtec Systems-EQ"","
"""Crizac-EQ"","
"""Indian Energy Ex-EQ"","
"""Frontier Springs-EQ"","
"""Shilchar Tech.-EQ"","
"""Viviana Power-EQ"","
"""3M India-EQ"","
"""Accelya Solution-EQ"","
"""Ardee Industries-EQ"","
"""Rajesh Power-EQ"","
"""Cams Services-EQ"","
"""Kernex Microsys.-EQ"","
"""Marico-EQ"","
"""Safe Enterprises-EQ"","
"""Sunlite Recycli.-EQ"","
"""I R C T C-EQ"","
"""Oracle Fin.Serv.-EQ"","
"""Atlanta Electric-EQ"","
"""Unified Data-EQ"","
"""Emmvee Photovol.-EQ"","
"""Abbott India-EQ"","
"""Nippon Life Ind.-EQ"","
"""Lohia Corp-EQ"","
"""Anondita Medi.-EQ"","
"""Alpex Solar-EQ"","
"""Garden Reach Sh.-EQ"","
"""HDFC AMC-EQ"","
"""Om Power Transmission-EQ"","
"""Hindustan Copper-EQ"","
"""Travel Food-EQ"","
"""Dixon Technolog.-EQ"","
"""Garuda Cons-EQ"","
"""String Metaverse-EQ"","
"""V-Marc India-EQ"","
"""Merritronix-EQ"","
"""Hawkins Cookers-EQ"","
"""GK Energy-EQ"","
"""Canara Robeco-EQ"","
"""Influx Health.-EQ"","
"""Infosys-EQ"","
"""Jubilant Agri-EQ"","
"""Sahana Systems-EQ"","
"""Glenmark Pharma.-EQ"","
"""Valiant Commun.-EQ"","
"""Oriana Power Ltd-EQ"","
"""Natl. Aluminium-EQ"","
"""D.P. Abhushan-EQ"","
"""Cummins India-EQ"","
"""Bondada Engineer-EQ"","
"""MPS-EQ"","
"""K.P. Energy-EQ"","
"""Shankara Buildpro-EQ"","
"""ITC-EQ"","
"""Motherson Wiring-EQ"","
"""Waaree Energies-EQ"","
"""Zelio E-Mobility-EQ"","
"""Hyundai Motor I-EQ"","
"""Euro Pratik Sale-EQ"","
"""Oswal Pumps-EQ"","
"""TAC Infosec-EQ"","
"""Solar Industries-EQ"","
"""Central Mine Pla-EQ"","
"""R M Drip & Sprin-EQ"","
"""Indo Tech.Trans.-EQ"","
"""Prizor Viztech-EQ"","
"""Netweb Technol.-EQ"","
"""Prudent Corp.-EQ"","
"""Billionbrains-EQ"","
"""SRM Contractors-EQ"","
"""Sathlokhar Sys.-EQ"","
"""Susan Electrical-EQ"","
"""Shukra Pharma.-EQ"","
"""Inventurus Knowl-EQ"","
"""Ganesh Green-EQ"","
"""Gokul Agro-EQ"","
"""KP Green Engg.-EQ"","
"""Jyoti Resins-EQ"","
"""Bharat Electron-EQ"","
"""Vikram Thermo-EQ"","
"""Force Motors-EQ"","
"""Kronox Lab-EQ"","
"""Mazagon Dock-EQ"","
"""Sharda Motor-EQ"","
"""Tata Motors-EQ"","
"""Triveni Turbine-EQ"","
"""Indrapr.Medical-EQ"","
"""Sacheerome-EQ"","
"""Sedemac Mechatro-EQ"","
"""Dam Capital Advi-EQ"","
"""Manorama Indust.-EQ"","
"""Thyrocare Tech.-EQ"","
"""KRM Ayurveda-EQ"","
"""Hero Motocorp-EQ"","
"""Life Insurance-EQ"","
"""Suzlon Energy-EQ"","
"""Coal India-EQ"","
"""Fujiyama Power-EQ"","
"""C P C L-EQ"","
"""eClerx Services-EQ"","
"""Khazanchi Jewell-EQ"","
"""Monolithisch Ind-EQ"","
"""Wealth First Por-EQ"","
"""Indo Thai Sec.-EQ"","
"""Sika Interplant-EQ"","
"""Ajanta Pharma-EQ"","
"""Persistent Systems-EQ"","
"""Macfos-EQ"","
"""Knack Packaging-EQ"","
"""Solex Energy-EQ"","
"""TD Power Systems-EQ"","
"""Goel Construct.-EQ"","
"""Indo SMC-EQ"","
"""PNGS Gargi FJ-EQ"","
"""KSE-EQ"","
"""Afcom Holdings-EQ"","
"""Shanti Gold-EQ"","
"""Inox India-EQ"","
"""Cupid-EQ"","
"""Poojaa Precision Engg.-EQ"","
"""Premier Energies-EQ"","
"""Corona Remedies-EQ"","
"""Foseco Crucible-EQ"","
"""Polycab India-EQ"","
"""The Bombay Burmah-EQ"","
"""Prec. Wires (I)-EQ"","
"""Saatvik Green-EQ"","
"""Xtranet Techno.-EQ"","
"""Cemindia Project-EQ"","
"""Borana Weaves-EQ"","
"""CRISIL-EQ"","
"""FlySBS Aviation-EQ"","
"""Steelcast-EQ"","
"""Anawil Wire-EQ"","
"""LG Electronics-EQ"","
"""Aditya AMC-EQ"","
"""Advit Jewels-EQ"","
"""C D S L-EQ"","
"""Hind.Aeronautics-EQ"","
"""Neetu Yoshi-EQ"","
"""Apsis Aerocom-EQ"","
"""Kalind-EQ"","
"""Action Const.Eq.-EQ"","
"""APL Apollo Tubes-EQ"","
"""Acutaas Chemical-EQ"","
"""Quality Power El-EQ"","
"""ADC India-EQ"","
"""Algoquant Fin-EQ"","
"""Meghna Infracon-EQ"","
"""Apar Inds.-EQ"","
"""Krishna Defence-EQ"","
"""Kalyani Cast-Tec-EQ"","
"""Pidilite Inds.-EQ"","
"""DDev Plastiks-EQ"","
"""Modison-EQ"","
"""NBCC-EQ"","
"""Banco Products-EQ"","
"""SML Mahindra-EQ"","
"""Premier Polyfilm-EQ"","
"""Technocraft Ven.-EQ"","
"""Wanbury-EQ"","
"""Nirlon-EQ"","
"""Sonata Software-EQ"","
"""Concord Control-EQ"","
"""Engineers India-EQ"","
"""Vikram Solar-EQ"","
"""Eicher Motors-EQ"","
"""Arrow Greentech-EQ"","
"""HCL Technologies-EQ"","
"""Anthem Bioscienc-EQ"","
"""Ecos (India)-EQ"","
"""Kirl.Pneumatic-EQ"","
"""Raghav Product.-EQ"","
"""MSTC-EQ"","
"""Godfrey Phillips-EQ"","
"""Sharda Cropchem-EQ"","
"""Shaily Engineer.-EQ"","
"""Hexaware Tech.-EQ"","
"""Bajaj Consumer-EQ"","
"""Tata Elxsi-EQ"","
"""SKM Egg Prod.-EQ"","
"""Eco Recyc.-EQ"","
"""Axtel Industries-EQ"","
"""A B B-EQ"","
"""Lupin-EQ"","
"""SKF India Indus.-EQ"","
"""Benares Hotels-EQ"","
"""Silver Touch-EQ"","
"""I T D C-EQ"","
"""Dynacons Sys.-EQ"","
"""Captain Techno.-EQ"","
"""Schneider Elect.-EQ"","
"""Auto.Corp.of Goa-EQ"","
"""Raymond Realty-EQ"","
"""LTM-EQ"","
"""Exhicon Events-EQ"","
"""Kamdhenu-EQ"","
"""Hitachi Energy-EQ"","
"""L. T. Elevator-EQ"","
"""Fiem Industries-EQ"","
"""BLS Internat.-EQ"","
"""Gaudium IVF-EQ"","
"""Astrazeneca Phar-EQ"","
"""Effwa Infra-EQ"","
"""Sunrakshakk Inds-EQ"","
"""Global Education-EQ"","
"""KFin Technolog.-EQ"","
"""CSM Technologies-EQ"","
"""InfoBeans Tech.-EQ"","
"""Transrail Light-EQ"","
"""Bayer Crop Sci.-EQ"","
"""Macpower CNC-EQ"","
"""Behari Lal Engg.-EQ"","
"""Utssav CZ Gold-EQ"","
"""Carraro India-EQ"","
"""Jyothy Labs-EQ"","
"""Yash Highvoltage-EQ"","
"""India Finsec-EQ"","
"""Kothari Petroche-EQ"","
"""SJS Enterprises-EQ"","
"""Aditya Infotech-EQ"","
"""Gandhi Spl. Tube-EQ"","
"""Hind. Unilever-EQ"","
"""Rubicon Research-EQ"","
"""Trent-EQ"","
"""Bajaj Auto-EQ"","
"""Sudeep Pharma-EQ"","
"""Aimtron-EQ"","
"""VST Industries-EQ"","
"""R R Kabel-EQ"","
"""Emami-EQ"","
"""Guj Pipavav Port-EQ"","
"""Indiamart Inter.-EQ"","
"""Dr Lal Pathlabs-EQ"","
"""Seshaasai Tech.-EQ"","
"""Iware Supplych.-EQ"","
"""Advait Energy-EQ"","
"""Schaeffler India-EQ"","
"""Alldigi Tech-EQ"","
"""Nitta Gelatin-EQ"","
"""Monarch Networth-EQ"","
"""NMDC-EQ"","
"""TAAL Tech-EQ"","
"""Jamna Auto Inds.-EQ"","
"""Gulf Oil Lubric.-EQ"","
"""Ceinsys Tech-EQ"","
"""Lloyds Metals-EQ"","
"""RNFI Services-EQ"","
"""Krishana Phosch.-EQ"","
"""Nazara Technolo.-EQ"","
"""Danlaw Tech.-EQ"","
"""Vadilal Enterp.-EQ"","
"""Anlon Tech-EQ"","
"""Sky Gold & Diam.-EQ"","
"""ASM Technologies-EQ"","
"""Syncom Formul.-EQ"","
"""Shringar House-EQ"","
"""Shivalik Bimetal-EQ"","
"""Bizotic Commer.-EQ"","
"""Sterling & Wils.-EQ"","
"""CG Power & Ind-EQ"","
"""L&T Technology-EQ"","
"""Exato Technologies-EQ"","
"""Disa India-EQ"","
"""Borosil Renew.-EQ"","
"""Stylam Industrie-EQ"","
"""Ashoka Buildcon-EQ"","
"""Blue Jet Health-EQ"","
